URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
https://weymouthgaygroup.weebly.com/,LGTBQ+,UK,,,,,,,,
https://leicesterlgbtcentre.org/,LGTBQ+,UK,Redirect,Redirect,,,,,,only the text is a link; the main button isn't so can misclick
https://lancslgbt.org.uk/,LGTBQ+,UK,,,,,,,,
https://imaanlondon.wordpress.com/,LGTBQ+,UK,,,,,,,,
https://www.fflag.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.rainbow-project.org/,LGTBQ+,UK,Redirect,,,,,,,
https://sailni.com/,LGTBQ+,UK,,,,,,,,
https://spectrumhealth.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.gires.org.uk/,LGTBQ+,UK,,,,,,,,
https://blgbt.org/,LGTBQ+,UK,,,,,,,,
https://eikon.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.mindworks-surrey.org/,LGTBQ+,UK,,,,,,,,
https://londonfriend.org.uk/,LGTBQ+,UK,,,,,,,,
http://www.pinktherapy.com/,LGTBQ+,UK,,,,,,,,
https://www.lgbthealth.org.uk/,LGTBQ+,UK,,,,,,,,
https://thebeyouproject.co.uk/,LGTBQ+,UK,Redirect,Redirect,,,,,,
https://www.theproudtrust.org/,LGTBQ+,UK,,,,,,,,
https://lgbtbucks.org/,LGTBQ+,UK,window.location writer,window.location writer,,,,Clickable Pop-up,https://lgbtbucks.org/browsing-safety/,
https://nwlgay.com/,LGTBQ+,UK,,,,,,,,
https://www.openingdoorslondon.org.uk/,LGTBQ+,UK,,,,,,,,
http://www.bisexualindex.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.mosaictrust.org.uk/,LGTBQ+,UK,,,,,,,,
http://www.depend.org.uk/frameset.html,LGTBQ+,UK,,,,,,,,
https://www.familiestogetherlondon.com/,LGTBQ+,UK,,,,,,,,
http://www.onebodyonefaith.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.dean.st/,LGTBQ+,UK,,,,,,,,
https://www.transgenderzone.com/,LGTBQ+,UK,,,,,,,,
http://www.ftmlondon.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.beaumontsociety.org.uk/,LGTBQ+,UK,,,,,,,,
https://spectra-london.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.wearetransplus.co.uk/,LGTBQ+,UK,,,,,,,,
https://www.equality-network.org/,LGTBQ+,UK,Redirect,Redirect,,,,,,
http://www.copecambs.org.uk/index.html,LGTBQ+,UK,,,,,,,,
https://www.cwrc.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.scottishtrans.org/,LGTBQ+,UK,,,,,,,,
https://pinksaltire.com/,LGTBQ+,UK,,,,,,,,
https://clareproject.org.uk/,LGTBQ+,UK,,,,,,,,
http://www.transbucket.com/,LGTBQ+,UK,,,,,,,,
https://www.wpath.org/,LGTBQ+,UK,,,,,,,,
https://www.stonewallscotland.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.transcansport.co.uk/,LGTBQ+,UK,,,,,,,,
https://allabouttrans.org.uk/,LGTBQ+,UK,,,,,,,,
https://translifeline.org/,LGTBQ+,UK,,,,,,,,
https://www.genderspectrum.org/,LGTBQ+,UK,,,,,,,,
https://pflag.org/,LGTBQ+,UK,Redirect,,,,,,,
https://www.lgbthero.org.uk/,LGTBQ+,UK,,,,,,,,
